# log_a a N_sq rho_coh_frac w_coh
-4.051251e+01 2.544716e-18 1.770624e+01 1.000000e+00 -9.845076e-01
-4.045045e+01 2.707650e-18 1.775730e+01 1.000000e+00 -9.845617e-01
-4.038839e+01 2.881017e-18 1.780832e+01 1.000000e+00 -9.846155e-01
-4.032633e+01 3.065484e-18 1.785931e+01 1.000000e+00 -9.846689e-01
-4.026426e+01 3.261762e-18 1.791028e+01 1.000000e+00 -9.847220e-01
-4.020220e+01 3.470607e-18 1.796121e+01 1.000000e+00 -9.847748e-01
-4.014014e+01 3.692824e-18 1.801211e+01 1.000000e+00 -9.848273e-01
-4.007808e+01 3.929270e-18 1.806297e+01 1.000000e+00 -9.848794e-01
-4.001602e+01 4.180855e-18 1.811381e+01 1.000000e+00 -9.849312e-01
-3.995395e+01 4.448548e-18 1.816462e+01 1.000000e+00 -9.849826e-01
-3.989189e+01 4.733381e-18 1.821539e+01 1.000000e+00 -9.850338e-01
-3.982983e+01 5.036452e-18 1.826613e+01 1.000000e+00 -9.850846e-01
-3.976777e+01 5.358928e-18 1.831684e+01 1.000000e+00 -9.851351e-01
-3.970571e+01 5.702051e-18 1.836752e+01 1.000000e+00 -9.851854e-01
-3.964364e+01 6.067144e-18 1.841817e+01 1.000000e+00 -9.852353e-01
-3.958158e+01 6.455614e-18 1.846878e+01 1.000000e+00 -9.852849e-01
